commonName,manufacturerAbbrev,impulseClass,type,diameter,length,totalWeightG,propWeightG,propInfo,avgThrustN,maxThrustN,burnTimeS,totImpulseNs,certOrg,availability,source_url
1/8A0.3,Quest,A,SU,6,26,1,0.5,black powder,0.284,2.108,0.772,0.218,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Quest/MICRO_MAXX_II/
1/8A0.3,Quest,A,SU,6,26,1.07,0.4,black powder,0.163,1.898,0.827,0.135,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Quest/MICRO_MAXX/
1/4A2,Apogee,A,SU,10.5,38,,0.75,,2.48,5.4,0.23,0.57,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/1%2F4A2/
1/4A3,Estes,A,SU,13,45,6.1,0.83,black powder,2.36,4.95,0.25,0.59,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/1%2F4A3/
1/2A2,Apogee,A,SU,10.5,38,,1.5,,1.94,3.97,0.63,1.22,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/1%2F2A2/
1/2A3,Estes,A,SU,13,45,6.6,2,black powder,3.03,7.62,0.36,1.09,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/1%2F2A3/
1/2A6,Estes,A,SU,18,70,,2.6,black powder,3.42,7.86,0.33,1.13,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/1%2F2A6/
A2,Apogee,A,SU,10.5,57,,3,,1.89,4.82,1.31,2.47,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/A2/
A3,Estes,A,SU,13,45,8.5,3.3,black powder,2.2,5.83,1.01,2.22,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/A3/
A6,Quest,A,SU,18,70,12,3.5,black powder,4.16,10.07,0.55,2.3,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Quest/A6/
A8,Estes,A,SU,18,70,16.3,3.3,black powder,3.18,9.73,0.73,2.5,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/A8/
A10,Estes,A,SU,13,45,7,3.6,black powder,1.78,9.74,1.06,1.88,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/A10/
B2,Apogee,B,SU,10.5,88,,6,,1.91,5.48,2.53,4.82,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/B2/
B4,Estes,B,SU,18,70,18.9,6,black powder,4.17,12.75,1.03,5,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/B4/
B6,Quest,B,SU,18,70,18.4,6.5,black powder,6.17,14.38,0.75,4.63,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Quest/B6/
B6,Estes,B,SU,18,70,19.1,5.6,black powder,5.03,12.14,0.86,4.33,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/B6/
B7,Apogee,B,SU,13,50,,2.8,,6.72,14.76,0.74,4.97,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/B7/
C4,Apogee,C,SU,18,50,,4.5,,3.8,11.31,2.35,8.92,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/C4/
C5,Estes,C,SU,18,70,24.8,11.3,black powder,3.91,20.41,1.99,7.79,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/C5/
C6,Estes,C,SU,18,70,24.1,10.8,black powder,4.74,14.09,1.86,8.82,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/C6/
C6,Quest,C,SU,18,70,21,12,black powder,3.45,15.46,2.54,8.76,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Quest/C6/
C6,Apogee,C,SU,13,83,,7,,7.56,21.1,1.32,9.98,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/C6/
C10,Apogee,C,SU,18,50,,4.9,,9.96,25.72,0.96,9.56,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/C10/
C11,Estes,C,SU,24,70,35.23,12,black powder,10.86,21.73,0.81,8.8,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/C11/
D3,Apogee,D,SU,18,77,,9.8,,2.87,10.64,6.39,18.36,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/D3/
D7,AeroTech,D,reload,24,70,42.2,10.5,Blue Thunder,6.46,10.99,2.87,18.53,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/D7-RCT/
D9,AeroTech,D,reload,24,70,47.4,10.1,White Lightning,9.98,20,1.88,18.76,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/D9W/
D10,Apogee,D,SU,18,70,,9.8,,13.39,25.13,1.4,18.75,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Apogee/D10/
D11,Estes,D,SU,24,70,44.8,24.5,black powder,9.4,26.01,1.86,17.49,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Estes/D11/
D12,Estes,D,SU,24,70,44,21.1,black powder,10.21,29.73,1.65,16.84,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/Estes/D12/
D13,AeroTech,D,reload,18,70,31.9,9.8,White Lightning,12.67,23.61,1.52,19.26,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/D13W/
D15,AeroTech,D,reload,24,70,46.9,8.9,Blue Thunder,16.49,31.36,1.15,18.96,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/D15T/
D21,AeroTech,D,SU,18,70,25,9.6,Blue Thunder,20.84,32.12,0.94,19.59,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/D21T/
D24,AeroTech,D,reload,18,70,32,8.7,Blue Thunder,14.77,25.52,1.22,18.02,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/D24T/
E6,AeroTech,E,SU,24,70,,21.5,Blue Thunder,6,,6.67,40,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AeroTech/E6/
E6,AeroTech,E,reload,24,70,50,21.5,Blue Thunder,5.27,11.9,7.12,37.5,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/E6-RCT/
E7,AeroTech,E,reload,24,70,48.4,17.1,Blue Thunder,5.41,11.58,5.43,29.35,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/E7-RCT/
E9,Estes,E,SU,24,95,58,35.8,black powder,9.02,19.47,3.09,27.87,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/Estes/E9/
E12,Ellis,E,SU,24,102,,28.3,,12,,2.983,35.8,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Ellis/E12/
E12,AeroTech,E,reload,24,70,59.4,30.3,Blackjack,11.22,18.33,3.05,34.22,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/E12-RCJ/
E15,AeroTech,E,SU,24,65,49,16.2,White Lightning,21.8,34.9,1.6,35,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AeroTech/E15W/
E15,RV,E,SU,24,70,50.1,17.8,,15.06,28.84,2.64,39.76,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/RV/E15/
E16,AeroTech,E,reload,29,124,109,19,White Lightning,18.84,37.2,2,37.67,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/E16W/
E18,AeroTech,E,reload,24,70,59,20.7,White Lightning,17.07,30.08,2.14,36.54,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/E18W/
E23,AeroTech,E,reload,29,124,104,17.4,Blue Thunder,22.5,38.22,1.57,35.32,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/E23T/
E28,AeroTech,E,reload,24,70,55.3,18.4,Blue Thunder,32.53,50.52,1.22,39.69,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/E28T/
E30,AeroTech,E,SU,24,70,47,17.8,Blue Thunder,32.38,49.3,1.02,33.56,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/E30T/
F10,AeroTech,F,SU,29,85,,40.7,,10.71,28.22,7.13,76.33,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AeroTech/F10/
F12,AeroTech,F,reload,24,70,68.6,30.3,Blackjack,14.74,23.54,2.93,43.2,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/F12J/
F13,AeroTech,F,reload,32,107,110.5,32.3,Blue Thunder,12.17,19.98,5.1,62.07,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/F13-RCT/
F16,AeroTech,F,reload,32,107,140.4,62.5,Blackjack,13.27,26.35,5.69,75.48,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/F16-RCJ/
F20,AeroTech,F,SU,29,83,80.2,30,White Lightning,20.8,40.33,2.49,51.75,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/F20W%2FL/
F21,AeroTech,F,SU,24,95,64,30,White Lightning,21,42,2.5,55,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/AeroTech/F21W/
F22,AeroTech,F,reload,29,124,135.6,46.3,Blackjack,19.64,31.15,3.31,65,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/F22J/
F23,AeroTech,F,SU,29,73,79,32,Black Max,23.81,48.7,2.22,52.85,National Association of Rocketry,OOP,http://www.thrustcurve.org/motors/AeroTech/F23FJ%2FL/
F23,AeroTech,F,reload,32,107,128.7,37.8,White Lightning,23,36,3.47,70,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/F23-RCW-SK/
F23,Ellis,F,SU,24,140,76.5,31.2,,23,39.2,3.58,67.9,"Tripoli Rocketry Association, Inc.",OOP,http://www.thrustcurve.org/motors/Ellis/F23/
