commonName,manufacturerAbbrev,impulseClass,type,diameter,length,totalWeightG,propWeightG,propInfo,avgThrustN,maxThrustN,burnTimeS,totImpulseNs,certOrg,availability,source_url
H70,RATT,H,hybrid,29,457,352,145.2,,70,204.3,3.6,207.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/RATT/H70/
H73,AeroTech,H,reload,38,152,309.1,142.7,Blackjack,73,97.1,2.55,185.6,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H73J/
H97,AeroTech,H,reload,29,238,277.8,137.1,Blackjack,97,111.5,2.23,177.3,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H97J/
H112,AeroTech,H,reload,38,191,379.5,191.2,Blackjack,112,121.7,2.92,261.1,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H112J/
H121,Contrail,H,hybrid,38,516,612,110,,121,294,1.85,225,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H121-HP/
H123,AeroTech,H,reload,38,152,275,128.7,White Lightning,123,174.2,1.76,223.6,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H123W/
H128,AeroTech,H,reload,29,194,206,94.2,White Lightning,128,168.7,1.27,172.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H128W/
H141,Contrail,H,hybrid,38,508,612,125,,141,297,1.7,247,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H141-PVC/
H143,Cesaroni,H,reload,38,185,347,165.4,Smoky Sam,142.4,167,1.73,247,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/247H143-13A/
H144,Loki,H,reload,38,190,336,126,Loki White,155,254,1.53,239.3,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Loki/H144-LW/
H148,AeroTech,H,reload,38,152,309.1,122,Redline,148,,1.392,206,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H148R/
H165,AeroTech,H,reload,29,194,201.6,90,Redline,165,,1,165,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H165R/
H180,AeroTech,H,reload,29,238,252,123.9,White Lightning,180,228.5,1.3,217.7,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H180W/
H210,AeroTech,H,reload,29,238,246.4,106.4,Redline,215.4,275.7,1,215.4,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/H210R/
H211,Contrail,H,hybrid,38,516,600,125,,211,674,0.97,206,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H211-PVC/
H220,AeroTech,H,reload,29,238,250,106.4,Blue Thunder,220,275.5,1,220,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/H220T/
H222,Contrail,H,hybrid,38,407,520,22,,225,619,0.7,161,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H222-HP/
H238,AeroTech,H,reload,29,194,196,83.4,Blue Thunder,238,263.4,0.71,165.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H238T/
H242,AeroTech,H,reload,38,152,264,114.7,Blue Thunder,242,276.6,1.06,231.7,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H242T/
H246,Contrail,H,hybrid,38,508,598,110,,238,653,0.9,222,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H246-HP/
H268,AeroTech,H,reload,29,333,358.4,166,Redline,268,,1.19,320,National Association of Rocketry,regular,http://www.thrustcurve.org/motors/AeroTech/H268R/
H277,Contrail,H,hybrid,38,719,710,110,,252,793,1.15,292,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H277-HP/
H300,Contrail,H,hybrid,38,508,612,110,,259,710,0.62,161,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H300-HP/
H303,Contrail,H,hybrid,38,508,589,125,,283,752,0.6,172,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H303-PVC/
H340,Contrail,H,hybrid,38,719,816,,,321,966,0.95,304.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/Contrail/H340-SP/
H565,Cesaroni,H,reload,38,244,,165,Vmax,565,,0.566,319.8,Canadian Association of Rocketry,regular,http://www.thrustcurve.org/motors/Cesaroni/320H565-14A/
H669,AeroTech,H,reload,38,152,252,98,Warp 9,651.4,961.5,0.339,221,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H669N/
H999,AeroTech,H,reload,38,203,331,147,Warp 9,999,1710,0.3202,319.9,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/AeroTech/H999N/
I80,RATT,I,hybrid,29,730,553,221.8,,80,104.4,5.8,359.5,"Tripoli Rocketry Association, Inc.",regular,http://www.thrustcurve.org/motors/RATT/I80/
